,country,stability,rights,health,safety,climate,costs,popularity,area,population,pop_per_km_sq,male_life_expectancy,female_life_expectancy,birth_rate,death_rate
135,Sudan,8.0,11.0,18.0,55.0,40.0,66.0,24.0,,,,,,,
136,Congo (Dem. Republic),32.0,7.0,6.0,10.0,54.0,60.0,36.0,,,,,,,
137,Macao ,,,,,,,,30.0,0.66 M,21657.6,,,,
138,Monaco,,,,,,,,2.0,0.04 M,19564.4,,,,
139,Singapore,,,,,,,,719.0,5.45 M,7584.9,,,,
140,Hong Kong ,,,,,,,,1110.0,7.41 M,6678.5,,,,
141,Gibraltar ,,,,,,,,6.8,0.03 M,4954.6,,,,
142,Holy See (Vatican City),,,,,,,,0.4,0.00 M,2272.7,,,,
143,Bahrain,,,,,,,,778.0,1.75 M,2247.2,,,,
144,Maldives,,,,,,,,300.0,0.54 M,1812.1,,,,
145,Malta,,,,,,,,320.0,0.52 M,1615.2,,,,
146,Saint Martin ,,,,,,,,34.0,0.04 M,1260.2,,,,
147,Bermuda ,,,,,,,,53.0,0.06 M,1200.5,,,,
148,Bangladesh,,,,,,,,147630.0,166.30 M,1126.5,,,,
149,Guernsey ,,,,,,,,78.0,0.07 M,865.3,,,,
150,Jersey ,,,,,,,,120.0,0.10 M,854.1,,,,
151,Palestine,,,,,,,,6020.0,4.92 M,817.7,,,,
152,St. Martin ,,,,,,,,53.0,0.04 M,737.6,,,,
153,Mayotte ,,,,,,,,374.0,0.26 M,685.9,,,,
154,Barbados,,,,,,,,430.0,0.29 M,669.1,,,,
155,Taiwan ,,,,,,,,35980.0,23.58 M,655.4,,,,
156,Lebanon,,,,,,,,10450.0,6.77 M,647.8,,,,
157,Mauritius,,,,,,,,2040.0,1.27 M,620.6,,,,
158,Aruba ,,,,,,,,179.0,0.11 M,599.2,,,,
159,San Marino,,,,,,,,61.0,0.03 M,555.8,,,,
160,South Korea,,,,,,,,100339.0,51.74 M,515.7,,,,
161,Nauru,,,,,,,,21.0,0.01 M,515.3,,,,
162,Rwanda,,,,,,,,26340.0,13.28 M,504.0,,,,
163,Comoros,,,,,,,,1861.0,0.89 M,477.4,,,,
164,Tuvalu,,,,,,,,26.0,0.01 M,458.7,,,,
165,Burundi,,,,,,,,27830.0,12.26 M,440.4,,,,
166,Israel,,,,,,,,22070.0,9.36 M,424.3,,,,
167,India,,,,,,,,3287259.0,"1,393.41 M",423.9,,,,
168,Netherlands,,,,,,,,41543.0,17.53 M,422.1,,,,
169,Haiti,,,,,,,,27750.0,11.54 M,415.9,,,,
170,Belgium,,,,,,,,30530.0,11.59 M,379.6,,,,
171,Philippines,,,,,,,,300000.0,111.05 M,370.2,,,,
172,Puerto Rico ,,,,,,,,8870.0,3.26 M,367.9,,,,
173,Martinique ,,,,,,,,1128.0,0.40 M,350.2,,,,
174,Curacao,,,,,,,,444.0,0.15 M,343.2,,,,
175,Sri Lanka,,,,,,,,65610.0,22.16 M,337.7,,,,
176,Japan,,,,,,,,377970.0,125.68 M,332.5,,,,
177,Grenada,,,,,,,,340.0,0.11 M,332.4,,,,
178,Marshall Islands,,,,,,,,181.0,0.06 M,328.6,,,,
179,Guam ,,,,,,,,540.0,0.17 M,315.2,,,,
180,El Salvador,,,,,,,,21040.0,6.52 M,309.8,,,,
181,Virgin Islands ,,,,,,,,350.0,0.11 M,302.5,,,,
182,Saint Lucia,,,,,,,,620.0,0.18 M,297.4,,,,
183,Vietnam,,,,,,,,331230.0,98.17 M,296.4,,,,
184,Saint Vincent and the Grenadines,,,,,,,,390.0,0.11 M,285.3,,,,
185,Pakistan,,,,,,,,796100.0,225.20 M,282.9,,,,
186,United Kingdom,,,,,,,,243610.0,67.33 M,276.4,,,,
187,Qatar,,,,,,,,11610.0,2.93 M,252.4,,,,
188,Luxembourg,,,,,,,,2590.0,0.64 M,246.7,,,,
189,Germany,,,,,,,,357580.0,83.13 M,232.5,,,,
190,Nigeria,,,,,,,,923770.0,211.40 M,228.8,,,,
191,Switzerland,,,,,,,,41290.0,8.70 M,210.6,,,,
192,Italy,,,,,,,,301340.0,59.07 M,196.0,,,,
193,China,,,,,,,,9562910.0,"1,412.36 M",147.7,,,,
194,Indonesia,,,,,,,,1913580.0,276.36 M,144.4,,,,
195,Denmark,,,,,,,,42920.0,5.86 M,136.5,,,,
196,Thailand,,,,,,,,513120.0,69.95 M,136.3,,,,
197,France,,,,,,,,549087.0,67.50 M,122.9,,,,
198,Poland,,,,,,,,312680.0,37.78 M,120.8,,,,
199,United Arab Emirates,,,,,,,,83600.0,9.99 M,119.5,,,,
200,Portugal,,,,,,,,92226.0,10.30 M,111.7,,,,
201,Turkey,,,,,,,,785350.0,85.04 M,108.3,,,,
202,Egypt,,,,,,,,1001450.0,104.26 M,104.1,,,,
203,Malaysia,,,,,,,,330345.0,32.78 M,99.2,,,,
204,Cambodia,,,,,,,,181040.0,16.95 M,93.6,,,,
205,Spain,,,,,,,,505935.0,47.33 M,93.5,,,,
206,Greece,,,,,,,,131960.0,10.66 M,80.8,,,,
207,Romania,,,,,,,,238400.0,19.12 M,80.2,,,,
208,Brunei,,,,,,,,5770.0,0.44 M,76.5,,,,
209,Ukraine,,,,,,,,603550.0,43.81 M,72.6,,,,
210,Ireland,,,,,,,,70280.0,5.03 M,71.5,,,,
211,Ecuador,,,,,,,,256370.0,17.89 M,69.8,,,,
212,Mexico,,,,,,,,1964375.0,130.26 M,66.3,,,,
213,Afghanistan,,,,,,,,652860.0,39.84 M,61.0,,,,
214,Cameroon,,,,,,,,475440.0,27.22 M,57.3,,,,
215,South Africa,,,,,,,,1219090.0,60.04 M,49.3,,,,
216,Iran,,,,,,,,1745150.0,85.03 M,48.7,,,,
217,United States,,,,,,,,9831510.0,331.89 M,33.8,,,,
218,Brazil,,,,,,,,8515770.0,213.99 M,25.1,,,,
219,Sweden,,,,,,,,447430.0,10.42 M,23.3,,,,
220,New Zealand,,,,,,,,267710.0,5.12 M,19.1,,,,
221,Argentina,,,,,,,,2780400.0,45.81 M,16.5,,,,
222,Saudi Arabia,,,,,,,,2149690.0,35.34 M,16.4,,,,
223,Finland,,,,,,,,338450.0,5.54 M,16.4,,,,
224,Norway,,,,,,,,385203.0,5.41 M,14.0,,,,
225,Russia,,,,,,,,17098250.0,143.45 M,8.4,,,,
226,Canada,,,,,,,,9984670.0,38.25 M,3.8,,,,
227,Australia,,,,,,,,7741220.0,25.74 M,3.3,,,,
228,Hong Kong,,,,,,,,,,,82.9,88.0,5.8,6.8
229,Iceland,,,,,,,,,,,81.7,84.5,12.3,7.8
230,Japan,,,,,,,,,,,81.6,87.7,6.8,8.8
